session_pitch,pitch_speed_mph,transfer_energy_fp_br,session_mass_pounds,session_height_feet
2916_5,94.0,1.0617524804413467,191.002985712,6.083333528
2918_1,89.1,2.0526357663381103,221.00345467199998,6.166666864
2918_2,90.4,2.2284954368670222,221.00345467199998,6.166666864
2918_3,89.8,2.405661893680572,221.00345467199998,6.166666864
2918_4,90.3,2.1742570561646097,221.00345467199998,6.166666864
2918_5,89.3,2.0714269492673085,221.00345467199998,6.166666864
2919_1,82.5,-1.5703025152229444,187.002923184,6.2500002
2923_3,76.9,-3.9255997344262656,162.00253238399998,5.83333352
2923_4,76.3,-3.6766155828905713,162.00253238399998,5.83333352
2923_5,76.3,-3.802983346283227,162.00253238399998,5.83333352
2926_1,83.4,-1.3948668142870708,178.00278249599998,5.583333512
2926_2,84.1,-1.1410678097166376,178.00278249599998,5.583333512
2926_4,83.4,-1.3231226583145947,178.00278249599998,5.583333512
2926_5,82.9,-1.6149803211637852,178.00278249599998,5.583333512
2927_1,86.8,0.13386747630383328,176.00275123199998,6.166666864
2927_2,87.8,-0.24488108402414802,176.00275123199998,6.166666864
2927_3,87.1,-1.4082417756404886,176.00275123199998,6.166666864
2927_4,86.8,-1.1519939024550936,176.00275123199998,6.166666864
2927_5,86.9,-1.137332694428115,176.00275123199998,6.166666864
2935_1,92.1,-0.7291293613628951,200.00312639999999,6.500000208
2935_2,93.1,-1.135126640610523,200.00312639999999,6.500000208
2935_3,92.8,-0.6080884530415281,200.00312639999999,6.500000208
2935_4,92.6,-0.24974681349522182,200.00312639999999,6.500000208
2935_5,92.1,-0.9690605809613864,200.00312639999999,6.500000208
2965_1,85.7,-0.37883049788369905,192.00300134399998,6.083333528
2965_2,86.6,-0.028114062795273335,192.00300134399998,6.083333528
2965_3,86.4,0.08345175325534852,192.00300134399998,6.083333528
2965_4,85.4,-0.2360929688393521,192.00300134399998,6.083333528
2965_5,86.7,0.32068265652177197,192.00300134399998,6.083333528
2969_1,90.4,2.0798704935701653,231.00361099199998,6.2500002
2969_2,89.8,1.8853565110247688,231.00361099199998,6.2500002
2969_3,88.6,1.843472184106011,231.00361099199998,6.2500002
2979_1,85.2,0.7740219888637044,224.00350156799996,6.583333544
2979_2,84.9,0.6350217811520826,224.00350156799996,6.583333544
2979_3,82.6,0.5936387514450512,224.00350156799996,6.583333544
2979_4,83.3,0.8423402076005289,224.00350156799996,6.583333544
